hero,type,comic
Spider-Man,Herói,Amazing Fantasy #15
Iron Man,Herói,Avengers #1
Captain America,Herói,Avengers #1
Thor,Herói,Avengers #1
Hulk,Herói,Avengers #1
Black Widow,Herói,Avengers #1
Hawkeye,Herói,Avengers #1
Doctor Strange,Herói,Strange Tales #110
Wolverine,Herói,X-Men #1
Cyclops,Herói,X-Men #1
Jean Grey,Herói,X-Men #1
Storm,Herói,X-Men #1
Magneto,Vilão,X-Men #1
Red Skull,Vilão,Captain America #1
Loki,Vilão,Journey into Mystery #85
Doctor Doom,Vilão,Fantastic Four #5
Green Goblin,Vilão,The Amazing Spider-Man #14
Venom,Vilão,The Amazing Spider-Man #300
Thanos,Vilão,Iron Man #55
Black Panther,Herói,Fantastic Four #52
Mr. Fantastic,Herói,Fantastic Four #1
Invisible Woman,Herói,Fantastic Four #1
Human Torch,Herói,Fantastic Four #1
Thing,Herói,Fantastic Four #1
Silver Surfer,Herói,Fantastic Four #48
Galactus,Vilão,Fantastic Four #48
Daredevil,Herói,Daredevil #1
Elektra,Herói,Daredevil #190
Kingpin,Vilão,Daredevil #1
Nick Fury,Herói,Sgt. Fury #1
Hulk,Herói,Incredible Hulk #1
Abomination,Vilão,Incredible Hulk #90
Wolverine,Herói,Weapon X #1
Sabretooth,Vilão,Weapon X #1
Mystique,Vilão,X-Men #1
Professor X,Herói,X-Men #1
Beast,Herói,X-Men #1
Gambit,Herói,X-Men #1
Rogue,Herói,X-Men #1
Magneto,Vilão,X-Men #1
Deadpool,Herói,New Mutants #98
Cable,Herói,New Mutants #87
Juggernaut,Vilão,X-Men #12
Apocalypse,Vilão,X-Factor #5
Vision,Herói,Avengers #57
Scarlet Witch,Herói,Avengers #16
Quicksilver,Herói,Avengers #16
Hawkeye,Herói,Avengers #16
Black Cat,Herói,The Amazing Spider-Man #194
Green Goblin,Vilão,The Amazing Spider-Man #14
Doctor Octopus,Vilão,The Amazing Spider-Man #3
Sandman,Vilão,The Amazing Spider-Man #4
Kingpin,Vilão,The Amazing Spider-Man #50
Ghost Rider,Herói,Ghost Rider #1
Mephisto,Vilão,Ghost Rider #1
Blade,Herói,Tomb of Dracula #10
Morbius,Herói,The Amazing Spider-Man #101
Venom,Vilão,The Amazing Spider-Man #300
Carnage,Vilão,The Amazing Spider-Man #361
Black Widow,Herói,Tales of Suspense #52
Hawkeye,Herói,Tales of Suspense #57
Falcon,Herói,Avengers #110
Winter Soldier,Vilão,Captain America #1
Red Hulk,Vilão,Incredible Hulk #1
Captain Marvel,Herói,Marvel Super-Heroes #13
Shocker,Vilão,The Amazing Spider-Man #46
Vulture,Vilão,The Amazing Spider-Man #2
Mysterio,Vilão,The Amazing Spider-Man #13
Doctor Doom,Vilão,Fantastic Four #5
Galactus,Vilão,Fantastic Four #48
Silver Surfer,Herói,Fantastic Four #48
Black Panther,Herói,Black Panther #1
Namor,Herói,Fantastic Four #1
Iron Fist,Herói,Iron Fist #1
Luke Cage,Herói,Luke Cage #1
Jessica Jones,Herói,Alias #1
Hellcat,Herói,Avengers #144
Yondu,Herói,Guardians of the Galaxy #1
Star-Lord,Herói,Guardians of the Galaxy #1
Gamora,Herói,Guardians of the Galaxy #1
Drax,Herói,Guardians of the Galaxy #1
Rocket Raccoon,Herói,Guardians of the Galaxy #1
Groot,Herói,Guardians of the Galaxy #1
Nebula,Vilão,Guardians of the Galaxy #1
Kang,Vilão,Avengers #8
Loki,Vilão,Avengers #1
Ultron,Vilão,Avengers #54
Red Skull,Vilão,Captain America #1
Mystique,Vilão,X-Men #1
Magneto,Vilão,X-Men #1
Juggernaut,Vilão,X-Men #12
Apocalypse,Vilão,X-Factor #5
Doctor Doom,Vilão,Fantastic Four #5
Thanos,Vilão,Infinity Gauntlet #1
Doctor Strange,Herói,Strange Tales #110
Clea,Herói,Strange Tales #126
Baron Mordo,Vilão,Strange Tales #111
Mephisto,Vilão,Ghost Rider #1
Ghost Rider,Herói,Ghost Rider #1
Blade,Herói,Tomb of Dracula #10
Morbius,Herói,The Amazing Spider-Man #101
Venom,Vilão,The Amazing Spider-Man #300
Carnage,Vilão,The Amazing Spider-Man #361
